player,display_name,slug,team,position,contract_type,actual_cap_hit,predicted_log_cap_hit,predicted_market_value,contract_surplus,log_contract_surplus,agent,signing_gm,age,games_played,goals,assists,points,plus_minus,pim,points_per_60,icf_per_60,iscf_per_60,ihdcf_per_60,giveaways_per_60,takeaways_per_60,hits_per_60,shots_blocked_per_60,r2
Radko Gudas,Radko Gudas,radko-gudas-ana-d-std,ANA,D,STD,4000000,15.034305854148322,3383109.632578454,-616890.367421546,-0.16749906493584277,Allain Roy,Pat Verbeek,36,56,2,11,13,-2,67,0.86,11.19,1.85,0.4,2.91,0.53,10.86,5.83,0.4695442670482678
Tim Washe,Tim Washe,tim-washe-ana-c-std,ANA,C,STD,812500,13.661698836635018,857433.4422436506,44933.442243650556,0.05382764344898838,Richard Evans,Pat Verbeek,24,39,2,3,5,-6,14,0.64,9.57,6.77,3.57,1.4,1.53,11.62,3.19,0.4695442670482678
Tristan Luneau,Tristan Luneau,tristan-luneau-ana-d-elc,ANA,D,ELC,865000,14.541190983664995,2066136.4741441149,1201136.4741441149,0.8707061977509785,Ian Pulver,Pat Verbeek,22,1,1,0,1,2,0,5.16,15.49,5.16,5.16,0.0,0.0,5.16,5.16,0.4695442670482678
Troy Terry,Troy Terry,troy-terry-ana-r-std,ANA,R,STD,7000000,15.24431772628708,4173717.678801645,-2826282.321198355,-0.5171029807325063,Kurt Overhardt,Pat Verbeek,28,61,19,38,57,11,14,3.06,16.83,9.81,4.66,2.63,1.34,0.11,0.86,0.4695442670482678
Tyson Hinds,Tyson Hinds,tyson-hinds-ana-d-elc,ANA,D,ELC,829444,13.706952443016728,897126.7568275726,67682.7568275726,0.07844156723155571,Allain Roy,Pat Verbeek,23,6,0,0,0,1,2,0.0,12.81,3.84,0.0,3.2,0.64,3.84,6.4,0.4695442670482678
Jeffrey Viel,Jeffrey Viel,jeffrey-viel-ana-l-std,ANA,L,STD,775000,14.128532281435039,1367551.23866428,592551.2386642799,0.5679139730995555,Allain Roy,Don Sweeney,29,45,3,7,10,-3,79,1.12,14.31,8.83,5.14,3.35,0.89,13.52,2.35,0.4695442670482678
Ryan Strome,Ryan Strome,ryan-strome-ana-c-std,ANA,C,STD,5000000,14.852933401822424,2821935.067733519,-2178064.932266481,-0.5720150685759506,Patrick Morris,Pat Verbeek,32,52,8,13,21,-8,35,1.8199999999999998,10.33,6.16,3.56,3.65,0.69,1.91,1.3,0.4695442670482678
John Carlson,John Carlson,john-carlson-ana-d-std,ANA,D,STD,8000000,15.818406409176987,7410484.7180669485,-589515.2819330515,-0.0765456904671229,Richard Curran,Brian MacLellan,36,71,14,46,60,9,32,2.19,12.95,3.9,0.99,4.31,1.64,0.95,3.87,0.4695442670482678
Casey Mittelstadt,Casey Mittelstadt,casey-mittelstadt-bos-c-std,BOS,C,STD,5750000,14.831057442369596,2760872.8629008806,-2989127.1370991194,-0.7336529704039361,Neil Sheehy,Chris MacFarland,27,71,15,27,42,12,12,2.34,8.97,5.68,2.73,4.12,0.67,1.28,1.17,0.4695442670482678
Alex Steeves,Alex Steeves,alex-steeves-bos-c-std,BOS,C,STD,850000,14.093973591057019,1321097.7675946523,471097.76759465225,0.44098196259052,Allain Roy,Don Sweeney,26,43,9,7,16,6,34,1.87,12.75,7.6,3.16,2.69,1.05,16.85,3.16,0.4695442670482678
