player,display_name,slug,team,position,contract_type,actual_cap_hit,predicted_log_cap_hit,predicted_market_value,contract_surplus,log_contract_surplus,agent,signing_gm,age,games_played,goals,assists,points,plus_minus,pim,points_per_60,icf_per_60,iscf_per_60,ihdcf_per_60,giveaways_per_60,takeaways_per_60,hits_per_60,shots_blocked_per_60,r2
Martin Necas,Martin Necas,martin-necas-col-c-std,COL,C,STD,6500000,15.36040995554344,4687500.029449862,-1812499.9705501376,-0.32690277932242573,Michael Deutsch,Eric Tulsky,27,78,38,62,100,47,30,3.58,14.92,7.62,2.9,4.4,0.82,3.04,0.93,0.4695442670482678
Cale Makar,Cale Makar,cale-makar-col-d-std,COL,D,STD,9000000,15.522981255932809,5514994.734628339,-3485005.2653716607,-0.489753879367683,Brian & Scott Bartlett,Joe Sakic,27,75,20,59,79,32,24,2.54,17.61,6.31,0.71,2.77,1.29,1.13,3.8,0.4695442670482678
Gabriel Landeskog,Gabriel Landeskog,gabriel-landeskog-col-l-std,COL,L,STD,7000000,15.147170281270709,3787324.0840691747,-3212675.9159308253,-0.6142504257488781,Peter Wallen,Joe Sakic,33,60,14,21,35,29,47,2.13,15.23,10.36,5.42,2.5,0.91,5.24,1.95,0.4695442670482678
Brett Kulak,Brett Kulak,brett-kulak-col-d-std,COL,D,STD,2750000,15.112497078617137,3658255.9617175674,908255.9617175674,0.2853856089743836,Gerry Johannson,Ken Holland,32,83,1,11,12,-4,38,0.45999999999999996,8.46,1.79,0.34,2.44,0.53,0.72,4.12,0.4695442670482678
Nick Blankenburg,Nick Blankenburg,nick-blankenburg-col-d-std,COL,D,STD,775000,14.7850670736818,2636774.831823272,1861774.8318232722,1.2244487653463167,Blake Robson,Barry Trotz,28,61,8,16,24,-10,10,1.41,11.3,3.57,1.0,3.22,1.0,3.22,3.45,0.4695442670482678
Samuel Girard,Samuel Girard,samuel-girard-col-d-std,COL,D,STD,5000000,14.65282351043341,2310151.1434753025,-2689848.8565246975,-0.7721249599649642,Pat Brisson,Joe Sakic,28,60,3,16,19,17,23,1.05,7.96,1.88,0.22,2.98,0.61,1.16,3.2,0.4695442670482678
Nicolas Roy,Nicolas Roy,nicolas-roy-col-c-std,COL,C,STD,3000000,14.724623094465612,2482118.765843798,-517881.23415620206,-0.18949975216677295,Pat Brisson,Kelly McCrimmon,29,74,8,17,25,0,23,1.4,9.03,6.79,3.59,3.48,1.18,3.98,2.24,0.4695442670482678
Adam Erne,Adam Erne,adam-erne-dal-l-std,DAL,L,STD,775000,14.068089469317444,1287341.0779732172,512341.07797321724,0.5074711609819609,Ritchie Winter,Jim Nill,31,45,6,2,8,1,19,1.07,11.59,7.59,4.53,2.27,1.2,18.92,2.66,0.4695442670482678
Alexander Petrovic,Alexander Petrovic,alexander-petrovic-dal-d-std,DAL,D,STD,775000,14.91554623455898,3004273.2042719997,2229273.2042719997,1.3549279262234961,Drew Shore,Jim Nill,34,54,2,8,10,2,47,0.72,8.76,2.03,0.07,3.26,0.65,6.37,5.57,0.4695442670482678
Arttu Hyry,Arttu Hyry,arttu-hyry-dal-r-elc,DAL,R,ELC,870000,13.758412144675791,944501.1133320051,74501.1133320051,0.0821636540450239,J.P. Barry,Jim Nill,25,20,3,2,5,1,2,1.27,10.95,6.62,3.06,3.06,1.02,8.15,1.53,0.4695442670482678
Cameron Hughes,Cameron Hughes,cameron-hughes-dal-c-std,DAL,C,STD,775000,14.002014942733013,1205029.9058515723,430029.9058515723,0.4413966343975293,Gerry Johannson,Jim Nill,29,3,1,0,1,2,0,2.73,5.47,5.47,5.47,2.73,0.0,8.2,5.47,0.4695442670482678
Colin Blackwell,Colin Blackwell,colin-blackwell-dal-c-std,DAL,C,STD,775000,14.901908002406934,2963578.3624865585,2188578.3624865585,1.3412896940714507,Peter Fish,Jim Nill,33,70,4,11,15,-2,40,1.08,10.45,5.05,2.45,2.23,1.23,8.07,2.67,0.4695442670482678
Esa Lindell,Esa Lindell,esa-lindell-dal-d-std,DAL,D,STD,5250000,15.224554295543225,4092040.467991427,-1157959.532008573,-0.24918433902458226,Markus Lehto,Jim Nill,32,82,6,26,32,30,20,1.01,6.11,2.05,0.25,3.53,0.94,0.94,5.64,0.4695442670482678
Ilya Lyubushkin,Ilya Lyubushkin,ilya-lyubushkin-dal-d-std,DAL,D,STD,3250000,14.66662560803915,2342257.130348534,-907742.8696514661,-0.3275399462667714,Craig Oster,Jim Nill,32,53,1,8,9,1,40,0.6499999999999999,4.96,0.72,0.22,3.31,0.65,4.89,6.47,0.4695442670482678
Jamie Benn,Jamie Benn,jamie-benn-dal-l-std,DAL,L,STD,1000000,15.328155581559129,4538719.952886593,3538719.9528865926,1.512645023594855,Bayne Pettinger,Jim Nill,36,60,15,21,36,8,53,2.71,9.48,6.7,3.91,2.63,0.83,5.94,1.73,0.4695442670482678
Jason Robertson,Jason Robertson,jason-robertson-dal-l-std,DAL,L,STD,7750000,15.487699203797199,5323806.983476416,-2426193.016523584,-0.3755041975323312,Pat Brisson,Jim Nill,26,82,45,51,96,22,32,3.4699999999999998,19.98,12.32,4.84,3.87,0.87,1.73,1.23,0.4695442670482678
Justin Hryckowian,Justin Hryckowian,justin-hryckowian-dal-c-elc,DAL,C,ELC,870000,14.455764343777771,1896962.2403264027,1026962.2403264027,0.7795158531470037,Neil Sheehy,Jim Nill,25,81,14,16,30,1,43,1.67,8.02,5.51,4.01,1.39,1.45,6.63,2.45,0.4695442670482678
Kyle Capobianco,Kyle Capobianco,kyle-capobianco-dal-d-std,DAL,D,STD,775000,14.409264951451602,1810774.0277146557,1035774.0277146557,0.848646643116119,Paul Capizzano,Jim Nill,28,33,2,3,5,1,8,0.75,9.89,3.15,0.3,3.0,1.35,1.8,4.05,0.4695442670482678
Lian Bichsel,Lian Bichsel,lian-bichsel-dal-d-elc,DAL,D,ELC,918333,13.665232999328715,860469.1126443928,-57863.887355607236,-0.0650823495958548,Margaretha van der Stroom Holdener,Jim Nill,22,50,4,4,8,6,37,0.62,6.82,1.69,0.23,2.91,1.07,10.65,3.22,0.4695442670482678
Matt Duchene,Matt Duchene,matt-duchene-dal-c-std,DAL,C,STD,4500000,15.416223963579505,4956567.206255793,456567.20625579264,0.0966360088389564,Pat Brisson,Jim Nill,35,57,16,29,45,-3,8,2.87,11.22,7.08,3.89,3.89,0.7,1.85,1.47,0.4695442670482678
Mavrik Bourque,Mavrik Bourque,mavrik-bourque-dal-c-std,DAL,C,STD,950000,14.580719090187669,2149442.5559587283,1199442.5559587283,0.8165018266109456,Allain Roy,Jim Nill,24,82,20,21,41,6,22,1.93,11.1,6.57,3.83,2.41,0.71,3.69,0.99,0.4695442670482678
Mikko Rantanen,Mikko Rantanen,mikko-rantanen-dal-r-std,DAL,R,STD,12000000,15.367511763543868,4720908.243608605,-7279091.756391395,-0.9329054442084068,Andy Scott,Jim Nill,29,64,22,55,77,0,93,3.58,13.38,9.06,3.58,3.48,1.12,2.23,1.39,0.4695442670482678
Miro Heiskanen,Miro Heiskanen,miro-heiskanen-dal-d-std,DAL,D,STD,8450000,15.068426285615942,3500534.6978860092,-4949465.302113991,-0.8812507137174137,Ian Pulver,Jim Nill,26,77,9,54,63,9,30,1.93,10.28,3.4,0.43,2.84,1.19,0.64,4.04,0.4695442670482678
Nathan Bastian,Nathan Bastian,nathan-bastian-dal-r-std,DAL,R,STD,775000,13.72576586132378,914164.5447606479,139164.54476064793,0.1651475529882962,Pat Brisson,Jim Nill,28,36,6,1,7,4,21,1.3499999999999999,8.29,5.59,3.86,2.12,0.19,16.39,1.35,0.4695442670482678
Nils Lundkvist,Nils Lundkvist,nils-lundkvist-dal-d-std,DAL,D,STD,1250000,14.276520592621923,1585674.762904101,335674.76290410105,0.23786648334343852,Claude Lemieux,Jim Nill,25,52,3,8,11,12,16,0.77,8.96,1.61,0.21,3.43,0.56,1.82,3.36,0.4695442670482678
Oskar Back,Oskar Back,oskar-back-dal-c-std,DAL,C,STD,825000,14.33662221614377,1683898.52919039,858898.5291903899,0.7134835508269521,J.P. Barry,Jim Nill,26,72,5,7,12,10,10,0.81,5.53,3.91,2.49,2.56,1.01,1.96,2.49,0.4695442670482678
Radek Faksa,Radek Faksa,radek-faksa-dal-c-std,DAL,C,STD,2000000,14.755722711988362,2560524.586304359,560524.5863043591,0.24706497346414302,Allan Walsh,Jim Nill,32,58,2,15,17,2,18,1.5,6.96,3.97,2.73,1.59,1.23,6.88,3.88,0.4695442670482678
Roope Hintz,Roope Hintz,roope-hintz-dal-c-std,DAL,C,STD,8450000,14.834921340027924,2771561.229169638,-5678438.770830362,-1.1147556593054322,Markus Lehto,Jim Nill,29,53,15,29,44,16,18,2.87,13.38,10.12,6.14,2.68,0.33,3.92,1.18,0.4695442670482678
Sam Steel,Sam Steel,sam-steel-dal-c-std,DAL,C,STD,2100000,14.665080822497714,2338641.63869785,238641.63869785005,0.10763291980406287,Gerry Johannson,Jim Nill,28,73,12,21,33,3,24,1.6800000000000002,7.62,5.48,2.97,2.56,1.02,4.04,1.48,0.4695442670482678
Thomas Harley,Thomas Harley,thomas-harley-dal-d-std,DAL,D,STD,4000000,14.752783331205602,2553009.2801258657,-1446990.7198741343,-0.44902158787856195,Andy Scott,Jim Nill,24,70,6,30,36,3,26,1.34,10.74,3.27,0.33,3.12,1.34,1.45,5.5,0.4695442670482678
Tyler Seguin,Tyler Seguin,tyler-seguin-dal-c-std,DAL,C,STD,9850000,14.86094756885604,2844641.3913298147,-7005358.608670185,-1.24203444429223,Ian Pulver,Jim Nill,34,27,7,10,17,10,2,2.2600000000000002,9.2,6.14,2.53,2.8,0.4,2.4,0.8,0.4695442670482678
Wyatt Johnston,Wyatt Johnston,wyatt-johnston-dal-c-std,DAL,C,STD,8400000,14.97684336770311,3194187.6847816906,-5205812.315218309,-0.9668988961104326,Andy Scott,Jim Nill,23,82,45,41,86,-5,32,3.13,14.62,11.31,5.82,2.25,0.84,2.04,2.0,0.4695442670482678
Michael Bunting,Michael Bunting,michael-bunting-dal-l-std,DAL,L,STD,4500000,15.101482134391645,3618181.590002454,-881818.4099975461,-0.21810582034890302,Paul Capizzano,Don Waddell,30,74,14,19,33,-24,20,1.86,15.66,8.03,4.21,3.2,0.67,2.53,1.4,0.4695442670482678
Tyler Myers,Tyler Myers,tyler-myers-dal-d-std,DAL,D,STD,3000000,15.229922639844968,4114067.0202797074,1114067.0202797074,0.3157997932125838,J.P. Barry,Patrik Allvin,36,73,1,10,11,-23,52,0.45999999999999996,8.17,2.15,0.46,3.28,0.84,3.58,5.1,0.4695442670482678
Albert Johansson,Albert Johansson,albert-johansson-det-d-std,DET,D,STD,1125000,14.54241663705037,2068670.393844714,943670.3938447139,0.6091230434297117,J.P. Barry,Steve Yzerman,25,82,3,8,11,-18,16,0.51,7.94,2.11,0.41,2.62,1.06,2.57,4.27,0.4695442670482678
Alex DeBrincat,Alex DeBrincat,alex-debrincat-det-r-std,DET,R,STD,7875000,15.794076189481336,7232361.669988611,-642638.3300113892,-0.08512755319463494,David Gagner,Steve Yzerman,28,82,41,44,85,8,19,3.3600000000000003,22.9,12.46,4.31,3.44,1.7,1.5,1.54,0.4695442670482678
Andrew Copp,Andrew Copp,andrew-copp-det-c-std,DET,C,STD,5625000,15.116280620459216,3672123.343584683,-1952876.6564153172,-0.4264508855955409,Kurt Overhardt,Steve Yzerman,31,79,9,34,43,3,24,1.97,10.04,6.92,4.54,3.44,1.01,2.06,2.93,0.4695442670482678
Axel Sandin Pellikka,Axel Sandin Pellikka,axel-sandin-pellikka-det-d-elc,DET,D,ELC,918333,14.365649065707768,1733493.1034582763,815160.1034582763,0.6353337167831974,J.P. Barry,Steve Yzerman,21,68,7,14,21,-20,18,1.1400000000000001,11.48,2.83,0.16,3.27,0.44,0.93,2.94,0.4695442670482678
Ben Chiarot,Ben Chiarot,ben-chiarot-det-d-std,DET,D,STD,4750000,15.263621899471032,4255070.54627825,-494929.4537217496,-0.11003327653979156,Craig Oster,Steve Yzerman,35,82,5,10,15,-9,75,0.53,9.13,2.07,0.39,2.6,0.88,5.97,5.62,0.4695442670482678
Carter Mazur,Carter Mazur,carter-mazur-det-l-elc,DET,L,ELC,905833,13.27495889555594,582426.8607276283,-323406.13927237166,-0.4416513457681024,Shawn Hunwick,Steve Yzerman,24,8,0,0,0,-3,0,0.0,4.91,2.1,0.7,2.1,0.0,7.01,4.21,0.4695442670482678
Dominik Shine,Dominik Shine,dominik-shine-det-r-std,DET,R,STD,775000,14.491114600111215,1965219.693042797,1190219.693042797,0.9304962917757322,,Steve Yzerman,33,18,3,0,3,0,7,1.44,9.13,6.25,2.4,3.85,2.88,6.73,2.88,0.4695442670482678
Dylan Larkin,Dylan Larkin,dylan-larkin-det-c-std,DET,C,STD,8700000,15.339055867592286,4588463.917788805,-4111536.0822111946,-0.6397777160325262,Pat Brisson,Steve Yzerman,29,74,34,33,67,3,48,2.7,18.07,10.64,5.06,2.69,0.72,1.85,1.33,0.4695442670482678
Emmitt Finnie,Emmitt Finnie,emmitt-finnie-det-c-elc,DET,C,ELC,821667,14.029670788382097,1238821.1357198707,417154.1357198707,0.41058030591184824,Todd Litwiniuk,Steve Yzerman,20,82,13,17,30,-10,6,1.4100000000000001,10.06,7.03,4.53,3.49,1.13,6.18,1.94,0.4695442670482678
J.T. Compher,J.T. Compher,j-t-compher-det-l-std,DET,L,STD,5100000,15.049185426200179,3433825.2336293105,-1666174.7663706895,-0.39556567149437605,Kevin Magnuson,Steve Yzerman,31,82,11,17,28,-13,27,1.3,8.31,5.32,2.9,2.05,0.51,1.03,2.52,0.4695442670482678
Jacob Bernard-Docker,Jacob Bernard-Docker,jacob-bernard-docker-det-d-std,DET,D,STD,875000,14.270271516437658,1575796.657170656,700796.6571706559,0.5882923510979072,Brian & Scott Bartlett,Steve Yzerman,25,63,1,4,5,0,25,0.32,7.27,1.86,0.19,2.64,0.51,4.24,5.59,0.4695442670482678
James van Riemsdyk,James van Riemsdyk,james-van-riemsdyk-det-l-std,DET,L,STD,1000000,15.512856011162496,5459435.811541238,4459435.811541238,1.6973454531982224,Judd Moldaver,Steve Yzerman,37,72,15,16,31,-17,14,2.19,14.25,10.71,7.73,2.77,0.78,1.06,1.99,0.4695442670482678
Lucas Raymond,Lucas Raymond,lucas-raymond-det-l-std,DET,L,STD,8075000,15.133218482595634,3734850.9990561116,-4340149.000943888,-0.7710649444773612,J.P. Barry,Steve Yzerman,24,80,25,51,76,1,22,3.03,14.64,6.82,2.35,3.03,1.24,1.72,1.16,0.4695442670482678
Marco Kasper,Marco Kasper,marco-kasper-det-c-elc,DET,C,ELC,886666,14.101796526039266,1331473.1596314108,444807.15963141085,0.40657288582947615,Ian Pulver,Steve Yzerman,22,81,9,10,19,-20,33,1.02,12.78,7.84,4.3,2.95,0.75,9.99,2.74,0.4695442670482678
Mason Appleton,Mason Appleton,mason-appleton-det-c-std,DET,C,STD,2900000,14.545441985127326,2074938.3183886036,-825061.6816113964,-0.3347793098293774,Ritchie Winter,Steve Yzerman,30,65,6,8,14,-4,44,0.96,7.78,4.16,2.05,1.5,0.07,6.07,1.98,0.4695442670482678
Michael Brandsegg-Nygård,Michael Brandsegg-Nygård,michael-brandsegg-nyg-rd-det-r-elc,DET,R,ELC,942500,13.015850306339518,449481.64883845457,-493018.35116154543,-0.740440891964786,Brian & Scott Bartlett,Steve Yzerman,20,14,0,1,1,-5,2,0.34,15.75,7.19,3.08,4.11,1.71,14.72,1.03,0.4695442670482678
Michael Rasmussen,Michael Rasmussen,michael-rasmussen-det-c-std,DET,C,STD,3200000,14.517662448562335,2018090.7488096987,-1181909.2511903013,-0.46099891920762026,Dave Cowan,Steve Yzerman,27,64,6,8,14,-10,8,1.03,9.86,5.85,3.11,2.08,0.74,4.74,4.67,0.4695442670482678
Moritz Seider,Moritz Seider,moritz-seider-det-d-std,DET,D,STD,8550000,14.991395050032752,3241008.3226039736,-5308991.677396026,-0.9700467908801915,Claude Lemieux,Steve Yzerman,25,82,10,50,60,15,57,1.72,11.66,3.22,0.2,2.82,0.83,3.65,5.13,0.4695442670482678
Patrick Kane,Patrick Kane,patrick-kane-det-r-std,DET,R,STD,3000000,15.951445885606898,8464960.316659965,5464960.316659965,1.0373230389745132,Pat Brisson,Steve Yzerman,37,67,16,41,57,-1,16,2.88,15.89,8.1,2.68,3.39,0.46,1.06,1.21,0.4695442670482678
Sheldon Dries,Sheldon Dries,sheldon-dries-det-c-std,DET,C,STD,775000,13.725491684078673,913913.9360013707,138913.93600137066,0.1648733757431895,Richard Evans,Steve Yzerman,32,5,0,0,0,0,0,0.0,6.88,5.16,3.44,1.72,5.16,13.77,5.16,0.4695442670482678
Simon Edvinsson,Simon Edvinsson,simon-edvinsson-det-d-elc,DET,D,ELC,894167,14.370651304913919,1742186.17490862,848019.1749086201,0.6670034673085272,J.P. Barry,Steve Yzerman,23,72,9,16,25,12,75,0.94,7.75,2.16,0.75,3.32,0.97,3.5,5.52,0.4695442670482678
Travis Hamonic,Travis Hamonic,travis-hamonic-det-d-std,DET,D,STD,1000000,14.61951775284431,2234476.997032827,1234476.9970328272,0.804007194880036,Kevin Epp,Steve Yzerman,35,26,0,2,2,-11,29,0.32,7.06,1.12,0.0,3.05,0.96,5.14,6.58,0.4695442670482678
David Perron,David Perron,david-perron-det-l-std,DET,L,STD,4000000,15.45692964316957,5162490.330223978,1162490.3302239776,0.2551247240854053,Allan Walsh,Steve Staios,38,65,13,15,28,-7,40,1.9,11.09,6.73,2.79,2.45,0.95,6.12,1.56,0.4695442670482678
Elmer Soderblom,Elmer Soderblom,elmer-soderblom-det-l-std,DET,L,STD,1125000,14.054763678178444,1270300.0345101038,145300.03451010375,0.12147008455778696,Patrik Aronsson,Steve Yzerman,24,59,7,6,13,-1,23,1.19,13.27,7.6,4.03,4.21,1.19,9.06,1.65,0.4695442670482678
Justin Faulk,Justin Faulk,justin-faulk-det-d-std,DET,D,STD,6500000,15.49099929986595,5341405.0797062665,-1158594.9202937335,-0.19631343499991694,Brian & Scott Bartlett,Doug Armstrong,34,78,16,24,40,-8,42,1.4,10.66,2.83,0.63,2.24,0.94,2.45,4.61,0.4695442670482678
Jonatan Berggren,Jonatan Berggren,jonatan-berggren-det-r-std,DET,R,STD,1825000,14.440188532306795,1867644.431158093,42644.43115809304,0.023097987308066337,Brian & Scott Bartlett,Steve Yzerman,25,51,8,14,22,-5,12,1.87,10.89,5.62,1.62,3.49,0.68,3.49,1.19,0.4695442670482678
Mattias Ekholm,Mattias Ekholm,mattias-ekholm-edm-d-std,EDM,D,STD,6250000,15.646091612345113,6237509.938236642,-12490.061763358302,-0.0020004093674703682,Kurt Overhardt,David Poile,36,82,6,35,41,32,30,1.45,10.99,3.49,1.14,3.59,0.89,2.31,4.45,0.4695442670482678
Max Jones,Max Jones,max-jones-edm-l-std,EDM,L,STD,1000000,13.75134172086551,937846.642856599,-62153.35714340105,-0.06416883709876409,Kurt Overhardt,Don Sweeney,28,21,3,2,5,3,9,1.71,13.01,7.53,4.11,2.74,1.71,19.17,1.03,0.4695442670482678
Adam Henrique,Adam Henrique,adam-henrique-edm-c-std,EDM,C,STD,3000000,15.324568785744452,4522469.651833306,1522469.651833306,0.4104459391120674,John Thornton,Jeff Jackson,36,65,3,12,15,-12,18,1.05,11.44,7.04,3.7,2.51,0.98,2.37,5.23,0.4695442670482678
Mattias Janmark,Mattias Janmark,mattias-janmark-edm-c-std,EDM,C,STD,1450000,14.585572708778843,2159900.4891882422,709900.4891882422,0.3984985943820849,Peter Wallen,Jeff Jackson,33,43,1,7,8,-8,22,0.94,6.24,3.65,2.47,1.65,0.59,1.18,1.53,0.4695442670482678
Darnell Nurse,Darnell Nurse,darnell-nurse-edm-d-std,EDM,D,STD,9250000,15.189208261086057,3949929.391255666,-5300070.608744334,-0.8509258484025519,Paul Capizzano,Ken Holland,31,82,7,17,24,-12,104,0.83,12.35,2.83,0.42,3.07,0.66,4.78,5.82,0.4695442670482678
Ryan Nugent-Hopkins,Ryan Nugent-Hopkins,ryan-nugent-hopkins-edm-c-std,EDM,C,STD,5125000,15.451885709044529,5136516.6289632125,11516.628963212483,0.0022446260557824615,Rick Valette,Ken Holland,33,72,20,36,56,-9,21,2.44,11.5,8.31,3.5,1.84,0.61,1.09,1.36,0.4695442670482678
Zach Hyman,Zach Hyman,zach-hyman-edm-l-std,EDM,L,STD,5500000,15.127341420816345,3712965.4234319096,-1787034.5765680904,-0.3929172293863541,Todd Reynolds,Ken Holland,34,58,31,21,52,13,28,2.6900000000000004,15.06,12.63,9.37,1.4,0.41,2.9,0.93,0.4695442670482678
Matthew Savoie,Matthew Savoie,matthew-savoie-edm-c-elc,EDM,C,ELC,886666,14.597213489788315,2185190.3289481415,1298524.3289481415,0.9019898495785252,Gerry Johannson,Kevyn Adams,22,82,18,19,37,6,24,1.83,11.93,7.57,4.01,2.57,1.58,0.69,1.83,0.4695442670482678
Vasily Podkolzin,Vasily Podkolzin,vasily-podkolzin-edm-r-std,EDM,R,STD,1000000,14.369021294158332,1739348.705886044,739348.7058860441,0.5535107361940579,Craig Oster,Patrik Allvin,24,82,19,18,37,16,63,1.76,10.66,6.61,3.43,2.47,0.86,11.52,2.47,0.4695442670482678
Connor McDavid,Connor McDavid,connor-mcdavid-edm-c-std,EDM,C,STD,12500000,15.802067093141577,7290386.301187404,-5209613.698812596,-0.539172109130952,Judd Moldaver,Peter Chiarelli,29,82,48,90,138,17,44,4.39,16.17,10.76,4.58,4.26,1.02,1.27,0.95,0.4695442670482678
Curtis Lazar,Curtis Lazar,curtis-lazar-edm-c-std,EDM,C,STD,775000,14.177784381377382,1436592.2607040245,661592.2607040245,0.6171660730418989,J.P. Barry,Stan Bowman,31,45,4,2,6,-3,10,0.8999999999999999,10.61,7.62,4.34,1.35,0.45,14.2,2.99,0.4695442670482678
Evan Bouchard,Evan Bouchard,evan-bouchard-edm-d-std,EDM,D,STD,10500000,15.409471467131949,4923210.75022281,-5576789.24977719,-0.7574143479958035,David Gagner,Stan Bowman,26,82,21,74,95,25,30,2.81,13.88,5.07,0.5,3.65,0.98,0.86,2.99,0.4695442670482678
Isaac Howard,Isaac Howard,isaac-howard-edm-l-elc,EDM,L,ELC,950000,13.859876157944749,1045364.4702634179,95364.47026341793,0.09565889436802522,Brian & Scott Bartlett,Stan Bowman,22,29,2,3,5,-6,12,1.0,14.85,7.22,3.21,3.41,0.4,1.4,1.0,0.4695442670482678
Jack Roslovic,Jack Roslovic,jack-roslovic-edm-c-std,EDM,C,STD,1500000,15.021742825630918,3340873.392838603,1840873.392838603,0.8007671595584789,Justin Duberman,Stan Bowman,29,69,21,15,36,-9,16,1.9899999999999998,14.78,8.77,3.86,3.53,0.72,2.54,1.49,0.4695442670482678
Josh Samanski,Josh Samanski,josh-samanski-edm-c-elc,EDM,C,ELC,975000,13.705744655284061,896043.8722150421,-78956.12778495788,-0.08444809469592407,Andy Scott,Stan Bowman,24,24,2,2,4,2,6,0.94,6.39,3.79,1.66,2.37,1.42,6.39,3.32,0.4695442670482678
Kasperi Kapanen,Kasperi Kapanen,kasperi-kapanen-edm-r-std,EDM,R,STD,1300000,14.45642115967341,1898208.6045503842,598208.6045503842,0.37854633724164444,Markus Lehto,Stan Bowman,29,41,8,9,17,5,14,1.7000000000000002,11.23,5.72,2.41,2.51,0.7,7.52,1.81,0.4695442670482678
Leon Draisaitl,Leon Draisaitl,leon-draisaitl-edm-c-std,EDM,C,STD,14000000,15.685757308613123,6489897.588172235,-7510102.411827765,-0.7688105789664093,Andy Scott,Stan Bowman,30,65,35,62,97,13,26,4.15,15.83,8.47,2.78,4.54,1.11,1.45,0.64,0.4695442670482678
Trent Frederic,Trent Frederic,trent-frederic-edm-c-std,EDM,C,STD,3850000,14.092964162238308,1319764.8862732954,-2530235.1137267044,-1.070619544025659,Allain Roy,Stan Bowman,28,74,4,3,7,-15,58,0.51,10.21,6.61,3.82,2.57,0.66,14.18,1.62,0.4695442670482678
Ty Emberson,Ty Emberson,ty-emberson-edm-d-std,EDM,D,STD,1300000,14.436524110956446,1860813.119076845,560813.119076845,0.35864928852468125,Brian & Scott Bartlett,Stan Bowman,26,72,2,10,12,-1,23,0.65,5.96,1.45,0.11,2.85,0.7,5.75,5.75,0.4695442670482678
Jake Walman,Jake Walman,jake-walman-edm-d-std,EDM,D,STD,3400000,15.005680298595614,3287639.205978702,-112360.79402129818,-0.03360569099077537,Wade Arnott,Steve Yzerman,30,53,8,12,20,-17,10,1.2,12.56,2.96,0.48,3.62,0.85,0.91,5.43,0.4695442670482678
Spencer Stastney,Spencer Stastney,spencer-stastney-edm-d-std,EDM,D,STD,825000,14.44378578959519,1874374.927105143,1049374.927105143,0.8206471242783717,Pete Rutili,Barry Trotz,26,66,2,8,10,-11,20,0.59,7.21,1.82,0.41,3.87,1.11,0.76,3.69,0.4695442670482678
Troy Stecher,Troy Stecher,troy-stecher-edm-d-std,EDM,D,STD,787500,14.925382365470858,3033969.4373983936,2246469.4373983936,1.348763715788932,Eustace King,Jeff Jackson,32,64,3,11,14,-8,20,0.6900000000000001,8.4,2.1,0.24,3.47,0.64,1.47,3.86,0.4695442670482678
A.J. Greer,A.J. Greer,a-j-greer-fla-l-std,FLA,L,STD,850000,14.722188405968172,2476082.930506309,1626082.930506309,1.0691967775016735,Philippe Lecavalier,Bill Zito,29,78,17,15,32,14,113,1.98,12.81,8.73,4.15,3.22,0.56,12.56,1.79,0.4695442670482678
Aaron Ekblad,Aaron Ekblad,aaron-ekblad-fla-d-std,FLA,D,STD,6100000,14.916646769881348,3007581.3330737515,-3092418.6669262485,-0.707152559262191,Craig Oster,Bill Zito,30,72,4,22,26,-5,55,0.97,8.93,2.45,0.37,2.52,0.74,3.11,3.82,0.4695442670482678
Anton Lundell,Anton Lundell,anton-lundell-fla-c-std,FLA,C,STD,5000000,14.577200689990544,2141893.2453818745,-2858106.7546181255,-0.8477477804078308,Markus Lehto,Bill Zito,24,64,18,26,44,-8,34,2.15,13.76,7.93,3.77,3.13,0.69,3.67,1.71,0.4695442670482678
Brad Marchand,Brad Marchand,brad-marchand-fla-l-std,FLA,L,STD,5250000,15.889288677408574,7954820.677663125,2704820.677663125,0.415550042840767,Wade Arnott,Bill Zito,38,52,27,27,54,-16,38,3.52,18.02,9.89,5.33,3.64,0.98,2.34,1.04,0.4695442670482678
Carter Verhaeghe,Carter Verhaeghe,carter-verhaeghe-fla-c-std,FLA,C,STD,7000000,15.385473273755416,4806468.985040862,-2193531.014959138,-0.37594743326417124,Ian Pulver,Bill Zito,30,77,25,30,55,-14,32,2.4400000000000004,16.99,9.29,3.58,2.92,1.28,3.01,0.97,0.4695442670482678
Dmitry Kulikov,Dmitry Kulikov,dmitry-kulikov-fla-d-std,FLA,D,STD,1150000,14.30674606024172,1634334.1967133875,484334.1967133875,0.3514735599022867,Craig Oster,Bill Zito,35,19,0,0,0,-5,10,0.0,6.65,1.23,0.35,3.15,0.7,3.85,2.98,0.4695442670482678
Eetu Luostarinen,Eetu Luostarinen,eetu-luostarinen-fla-c-std,FLA,C,STD,3000000,14.614832960644586,2224033.4187244335,-775966.5812755665,-0.2992898859877986,Simo Niiranen,Bill Zito,27,73,11,22,33,4,32,1.6400000000000001,9.92,7.04,3.92,2.23,0.99,6.0,2.78,0.4695442670482678
Evan Rodrigues,Evan Rodrigues,evan-rodrigues-fla-c-std,FLA,C,STD,3000000,15.176269724950933,3899152.286163087,899152.286163087,0.2621468783185481,Darren Ferris,Bill Zito,32,69,11,20,31,-16,38,1.58,16.17,7.57,3.84,2.41,1.59,3.22,1.33,0.4695442670482678
