 ,Team,Position,Type,Cap Hit,Log(CapHit),Predicted Log(CapHit),Value,Signing Agent,Signing GM,Age,GP,Points/60,iCF/60,iSCF/60,iHDCF/60,Giveaways/60,Takeaways/60,Hits/60,Shots Blocked/60
Nathan Gaucher,ANA,C,ELC,886666,13.69522364020979,12.868081108318693,-0.8271425318910968,Philippe Lecavalier,Pat Verbeek,22,3,0,4.99,2.49,0,2.49,2.49,14.96,2.49
Nikita Nesterenko,ANA,C,STD,787500,13.576618649681926,13.828950843407023,0.2523321937250973,Allan Walsh,Pat Verbeek,24,29,1.52,11.65,6.25,2.87,2.36,0.17,8.95,1.35
Pavel Mintyukov,ANA,D,ELC,918333,13.73031534892457,14.42577065894933,0.6954553100247605,Daniel Milstein,Pat Verbeek,22,73,0.98,9.1,3.52,0.8,2.94,0.8,1.74,5
Radko Gudas,ANA,D,STD,4000000,15.201804919084164,15.034305854148322,-0.16749906493584277,Allain Roy,Pat Verbeek,36,56,0.86,11.19,1.85,0.4,2.91,0.53,10.86,5.83
Tim Washe,ANA,C,STD,812500,13.60787119318603,13.661698836635018,0.05382764344898838,Richard Evans,Pat Verbeek,24,39,0.64,9.57,6.77,3.57,1.4,1.53,11.62,3.19
Tristan Luneau,ANA,D,ELC,865000,13.670484785914017,14.541190983664995,0.8707061977509785,Ian Pulver,Pat Verbeek,22,1,5.16,15.49,5.16,5.16,0,0,5.16,5.16
Troy Terry,ANA,R,STD,7000000,15.761420707019587,15.24431772628708,-0.5171029807325063,Kurt Overhardt,Pat Verbeek,28,61,3.06,16.83,9.81,4.66,2.63,1.34,0.11,0.86
Tyson Hinds,ANA,D,ELC,829444,13.628510875785173,13.706952443016728,0.07844156723155571,Allain Roy,Pat Verbeek,23,6,0,12.81,3.84,0,3.2,0.64,3.84,6.4
Jeffrey Viel,ANA,L,STD,775000,13.560618308335483,14.128532281435039,0.5679139730995555,Allain Roy,Don Sweeney,29,45,1.12,14.31,8.83,5.14,3.35,0.89,13.52,2.35
Ryan Strome,ANA,C,STD,5000000,15.424948470398375,14.852933401822424,-0.5720150685759506,Patrick Morris,Pat Verbeek,32,52,1.8199999999999998,10.33,6.16,3.56,3.65,0.69,1.91,1.3
John Carlson,ANA,D,STD,8000000,15.89495209964411,15.818406409176987,-0.0765456904671229,Richard Curran,Brian MacLellan,36,71,2.19,12.95,3.9,0.99,4.31,1.64,0.95,3.87
Casey Mittelstadt,BOS,C,STD,5750000,15.564710412773533,14.831057442369596,-0.7336529704039361,Neil Sheehy,Chris MacFarland,27,71,2.34,8.97,5.68,2.73,4.12,0.67,1.28,1.17
Alex Steeves,BOS,C,STD,850000,13.652991628466498,14.093973591057019,0.44098196259052,Allain Roy,Don Sweeney,26,43,1.87,12.75,7.6,3.16,2.69,1.05,16.85,3.16
Charlie McAvoy,BOS,D,STD,9500000,16.06680235657077,15.06898095785384,-0.997821398716928,Michael Curran,Don Sweeney,28,69,2.17,9.66,3.46,1.03,3.14,1.03,2.82,4.6
David Pastrnak,BOS,R,STD,11250000,16.235878686614704,15.852285155777102,-0.3835935308376026,J.P. Barry,Don Sweeney,30,77,3.7700000000000005,21.2,9.09,2.83,5.06,1.21,3.24,1.21
Elias Lindholm,BOS,C,STD,7750000,15.86320340132953,15.24382246954892,-0.6193809317806096,Craig Oster,Don Sweeney,31,69,2.34,12.64,8.07,4.28,2.53,0.83,1.99,2.87
Hampus Lindholm,BOS,D,STD,6500000,15.687312734865866,15.189982379318725,-0.4973303555471418,Claude Lemieux,Don Sweeney,32,67,1.08,10.27,3.44,0.46,3.31,1.04,0.5,4.27
Henri Jokiharju,BOS,D,STD,3000000,14.914122846632385,14.401337539346825,-0.5127853072855597,J.P. Barry,Don Sweeney,27,41,1.23,8.96,2.05,0.08,3.95,0.49,2.22,3.04
James Hagens,BOS,C,ELC,975000,13.790192749979985,13.681616960737419,-0.1085757892425665,John Kofi Osei-Tutu & Bobby Gauthier,Don Sweeney,19,2,2.06,10.31,4.12,0,6.19,6.19,2.06,0
Jonathan Aspirot,BOS,D,STD,775000,13.560618308335483,14.429303212178233,0.86868490384275,Dom De Blois,Don Sweeney,27,61,0.77,7.64,1.47,0.35,3.29,0.59,5.05,4.88
Jordan Harris,BOS,D,STD,825000,13.623138665316818,13.937955018323054,0.3148163530062362,Eric Quinlan & Nicholas Martino,Don Sweeney,25,8,1.41,8.96,3.3,0.47,2.83,0.47,2.36,2.36
Marat Khusnutdinov,BOS,C,STD,925000,13.737549016494562,14.469629337454473,0.7320803209599109,J.P. Barry,Don Sweeney,23,77,1.78,7.85,5.32,2.79,2.53,1.13,2.26,2.1
