variable,coefficient,standard_error,t_stat,p_value,lower_95,upper_95
Intercept,11.370588095375588,0.22059769917005745,51.544454625567376,4.0361602667531134e-250,10.937533984853548,11.803642205897628
Age,0.07357945898448681,0.0053151486478120345,13.843349238177108,5.0367750943491174e-39,0.06314532037546956,0.08401359759350406
GP,0.010641608467910721,0.001110026856740554,9.586802700574639,1.2644199357880532e-20,0.008462520948367793,0.012820695987453648
Points/60,0.24904414282941903,0.0399815831143598,6.228971527142262,7.773784656118254e-10,0.17055652043810515,0.3275317652207329
iCF/60,0.0307472387244205,0.012121793060147578,2.536525625528717,0.011395148937541127,0.0069510145056550544,0.05454346294318595
iSCF/60,0.023458769076730054,0.03044099515404313,0.7706308206423499,0.4411655953147139,-0.03629977840330287,0.08321731655676298
iHDCF/60,-0.07657136462600085,0.036521120429422904,-2.0966324068281277,0.03635656425688995,-0.14826577205787483,-0.0048769571941268824
Giveaways/60,-0.02220479088957121,0.02788327697188146,-0.7963479655552449,0.4260788196792704,-0.07694229609894923,0.03253271431980681
Takeaways/60,0.027335785094136953,0.04850975058158975,0.5635111450049659,0.5732533132711557,-0.06789343519597114,0.12256500538424504
Hits/60,-0.03238350508689659,0.005705171234196959,-5.676167069761015,1.9607040062449348e-08,-0.0435832948557667,-0.021183715318026472
Shots Blocked/60,0.042835379186886575,0.021768414461009276,1.9677767190445412,0.04945742852403645,0.00010192640223011945,0.08556883197154302
